Date,Open,High,Low,Close,Volume
2024-01-02,188.95,190.35,187.20,189.98,62199000
2024-01-03,190.10,191.42,188.05,190.75,58432000
2024-01-04,191.00,192.88,189.70,192.10,55987000
2024-01-05,192.30,193.56,191.15,193.20,57211000
2024-01-08,193.50,194.90,192.85,194.40,49823000
2024-01-09,194.20,195.60,193.40,195.10,51276000
2024-01-10,195.30,196.75,194.55,196.20,53488000
2024-01-11,196.10,197.40,195.30,196.85,52144000
2024-01-12,196.90,198.20,196.10,197.95,54790000
2024-01-16,198.10,199.50,197.25,198.80,56342000
2024-01-17,198.60,200.10,197.90,199.40,55234000
2024-01-18,199.50,201.00,198.75,200.85,57112000
2024-01-19,200.70,202.20,199.95,201.60,58843000
2024-01-22,201.80,203.50,201.10,202.90,60211000
2024-01-23,202.60,204.10,201.85,203.75,59782000
2024-01-24,203.90,205.40,203.10,204.60,61054000
2024-01-25,204.50,206.00,203.70,205.40,62321000
2024-01-26,205.60,207.10,204.90,206.75,64012000
2024-01-29,206.80,208.30,206.10,207.90,65230000
2024-01-30,208.10,209.60,207.30,208.55,66874000
2024-01-31,208.70,210.20,208.05,209.80,67982000
2024-02-01,209.90,211.40,209.10,210.60,69054000
2024-02-02,210.80,212.30,210.05,211.85,70211000
2024-02-05,212.00,213.50,211.20,212.95,71598000
2024-02-06,213.10,214.70,212.40,214.20,72843000
2024-02-07,214.40,216.00,213.65,215.55,74288000
2024-02-08,215.70,217.20,214.90,216.80,75821000
2024-02-09,217.00,218.60,216.25,217.95,77432000
2024-02-12,218.20,219.80,217.45,219.10,79011000
