Date,Open,High,Low,Close,Volume
2024-01-01,100.5,101.12,99.03,100.6,1223
2024-01-02,100.36,101.87,98.73,101.1,2262
2024-01-03,101.01,101.87,99.2,99.48,3224
2024-01-04,102.53,103.87,101.72,103.66,2802
2024-01-05,102.3,103.64,101.42,102.54,1852
2024-01-06,102.06,103.23,101.69,102.96,4353
2024-01-07,103.64,104.0,102.4,102.91,1062
2024-01-08,104.41,106.11,104.14,105.91,2240
2024-01-09,103.94,104.72,102.9,103.61,4925
2024-01-10,104.48,105.02,103.3,103.32,3874
2024-01-11,104.02,104.29,103.3,104.2,3842
2024-01-12,103.55,104.82,102.29,102.52,1688
2024-01-13,103.79,105.21,103.54,104.07,2484
2024-01-14,101.88,102.11,101.61,102.09,2633
2024-01-15,100.16,101.28,98.47,101.14,3152
2024-01-16,99.59,100.2,98.74,99.58,4170
2024-01-17,98.58,99.94,98.15,99.28,1510
2024-01-18,98.89,99.41,97.75,98.5,1384
2024-01-19,97.99,99.43,96.4,97.29,1404
2024-01-20,96.57,97.47,95.99,96.47,3870
2024-01-21,98.04,99.93,96.72,98.88,1517
2024-01-22,97.81,98.26,97.46,98.06,1475
2024-01-23,97.88,98.7,97.59,98.46,3000
2024-01-24,96.46,96.86,95.3,96.53,3756
2024-01-25,95.91,97.78,94.74,95.02,4934
2024-01-26,96.02,97.8,94.68,96.22,2668
2024-01-27,94.87,95.54,93.37,93.49,2893
2024-01-28,95.25,96.64,93.29,95.13,3818
2024-01-29,94.65,96.32,93.52,94.75,2460
2024-01-30,94.36,95.55,93.57,95.33,4094
2024-01-31,93.75,94.91,92.12,93.1,4044
2024-02-01,95.61,96.24,94.92,95.07,4636
2024-02-02,95.59,95.96,94.6,94.8,3724
2024-02-03,94.53,96.35,94.19,95.84,1713
2024-02-04,95.36,97.18,95.11,96.39,4529
2024-02-05,94.14,95.48,92.2,92.53,1082
2024-02-06,94.35,95.16,92.64,92.85,2168
2024-02-07,92.39,93.21,90.93,92.53,4156
2024-02-08,91.06,92.56,90.12,90.3,4149
2024-02-09,91.25,93.07,90.74,92.65,3504
2024-02-10,91.99,93.79,91.51,93.12,2901
2024-02-11,92.16,93.77,91.51,91.7,3048
2024-02-12,92.05,93.4,90.86,91.08,1050
2024-02-13,91.75,92.1,90.26,92.07,1684
2024-02-14,90.27,90.76,88.88,89.58,1716
2024-02-15,89.55,91.37,88.85,89.78,4843
2024-02-16,89.09,90.38,87.17,89.78,2469
2024-02-17,90.15,90.36,88.62,90.27,1448
2024-02-18,90.49,90.87,89.29,90.85,1880
2024-02-19,88.73,90.12,87.43,89.46,1487
2024-02-20,89.05,89.26,88.1,88.53,2823
2024-02-21,88.67,89.15,88.02,88.11,3081
2024-02-22,87.99,89.18,87.15,88.72,4419
2024-02-23,88.6,90.05,87.04,88.72,3142
2024-02-24,89.63,91.0,89.41,90.08,4143
2024-02-25,90.56,91.17,90.15,91.07,2574
2024-02-26,89.72,91.21,89.44,89.64,3201
2024-02-27,89.41,90.04,89.14,89.58,1249
2024-02-28,89.75,90.53,88.01,88.03,1673
2024-02-29,90.72,92.26,89.25,90.66,1437
2024-03-01,90.24,91.61,89.19,89.32,3165
2024-03-02,90.06,91.78,89.68,89.93,1770
2024-03-03,88.95,90.33,87.86,88.15,4962
2024-03-04,87.75,88.98,86.7,88.18,4377
2024-03-05,88.57,88.93,88.05,88.71,1267
2024-03-06,89.92,90.78,88.94,90.02,2984
2024-03-07,89.85,90.53,88.93,90.47,2077
2024-03-08,90.85,91.49,89.55,90.28,1235
2024-03-09,91.22,93.17,89.87,90.81,1388
2024-03-10,90.57,91.48,90.29,91.32,4037
2024-03-11,90.93,92.74,90.06,90.66,4805
2024-03-12,92.47,93.81,91.14,93.71,1762
2024-03-13,92.43,94.06,91.33,91.36,2848
2024-03-14,94.0,95.1,92.26,95.02,3448
2024-03-15,91.38,92.62,89.99,90.11,1623
2024-03-16,92.2,93.29,91.71,93.12,3814
2024-03-17,92.29,92.84,91.96,92.42,4374
2024-03-18,91.99,93.49,90.63,93.47,3966
2024-03-19,92.08,92.79,91.83,91.9,4278
2024-03-20,90.09,90.34,88.84,89.67,2252
2024-03-21,89.87,91.23,87.98,91.14,3900
2024-03-22,90.23,90.75,88.99,89.91,4981
2024-03-23,91.71,93.6,90.81,92.57,1577
2024-03-24,91.19,93.11,89.83,92.11,3122
