Date,Open,High,Low,Close,Volume
2024-01-02,188.95,190.35,187.20,189.98,62199000
2024-01-03,190.10,191.42,188.05,190.75,58432000
2024-01-04,191.00,192.88,189.70,192.10,55987000
2024-01-05,192.30,193.56,191.15,193.20,57211000
2024-01-08,193.50,194.90,192.85,194.40,49823000
2024-01-09,194.20,195.60,193.40,195.10,51276000
2024-01-10,195.30,196.75,194.55,196.20,53488000
2024-01-11,196.10,197.40,195.30,196.85,52144000
2024-01-12,196.90,198.20,196.10,197.95,54790000
2024-01-16,198.10,199.50,197.25,198.80,56342000
